Unnamed: 0,date,author,twitter_name,text,number_of_reply,number_of_retweets,number_of_likes,id,sentiment,annotator,annotation_id,created_at,updated_at,lead_time
2079,2012-04-16T08:16:07.000Z,Madina,@Madina_loveu,"http://podari-zhizn.ru/main/node/8409
Фонд ""Подари жизнь"" !!!!!",0,0,0,2080,0,1,189,2022-07-30T23:11:59.913562Z,2022-07-30T23:11:59.913562Z,8.073
1004,2016-05-05T18:58:04.000Z,Тарас Костюк,@ukraineonlinev1,http://mychildvideo.ru/video/6polcmhntlA… Подари детям Жизнь. фильм третий. Аутизм. Фонд ДОМ #news #новости #видео,0,0,0,1005,новости,1,188,2022-07-30T23:11:51.650860Z,2022-07-30T23:11:51.650860Z,11.554
1258,2015-05-23T04:17:48.000Z,Михаил Калашников,@mkalashnikov88,"Благотворительный фонд ""Подари жизнь""
http://podari-zhizn.ru/main",0,0,1,1259,0,1,187,2022-07-30T23:11:39.894012Z,2022-07-30T23:11:39.894012Z,3.671
1409,2014-11-25T17:51:44.000Z,выс,@SvetkaVysokikh,"Дорогие друзья , 26 ноября день рождения фонда  ""Подари жизнь"" ! Фонд приглашает всех принять участие.. http://vk.cc/3cymFI",0,0,0,1410,новости,1,186,2022-07-30T23:11:36.024059Z,2022-07-30T23:11:36.024059Z,7.221
1115,2015-11-25T00:30:06.000Z,Nissim Daniel,@NissimDaniel,"Фонд ""Подари жизнь"" проведет ""Безумное чаепитие"" на коньках",0,0,0,1116,новости,1,185,2022-07-30T23:11:28.629686Z,2022-07-30T23:11:28.629686Z,3.644
2040,2012-07-03T09:53:20.000Z,Жанна Любимова,@DirtyMissis,": Выходит, что ""иностранным агентом можно считать даже фонд Подари жизнь"", заявила эксперт Общественной палаты Н... http://bit.ly/NsiJu6",0,0,0,2041,негативные упоминания,1,184,2022-07-30T23:11:24.803742Z,2022-07-30T23:11:24.803742Z,8.43
420,2019-04-20T16:32:50.000Z,ар2дэ2,@orangevyy,"Михаил Трухин на Даниловском рынке помогал продавать квас.
#ДаниловскийРынок #ФондПодариЖизнь https://instagram.com/p/Bwe_N3cBn4C/?utm_source=ig_twitter_share&igshid=nbzh0ntimac2…",0,0,0,421,0,1,183,2022-07-30T23:11:16.196318Z,2022-07-30T23:11:16.196318Z,7.17
1239,2015-06-10T13:26:00.000Z,Петр Зарубин,@Zarubindt,"Чулпан Хаматова, получившая Госпремию РФ, перечислит все 5 млн рублей в фонд ""Подари жизнь""",0,0,0,1240,деятельность фонда,1,182,2022-07-30T23:11:08.844537Z,2022-07-30T23:11:08.844537Z,9.047
488,2018-12-09T18:56:53.000Z,ар2дэ2,@orangevyy,"Потому что мы банда. 
Мы волонёры #ФондПодариЖизнь",0,0,2,489,позитивные упоминания,1,181,2022-07-30T23:10:59.614243Z,2022-07-30T23:10:59.614243Z,7.641
119,2021-11-26T17:16:08.000Z,Рамблер/,@ramblerru,"В честь своего 15-летия, фонд «Подари жизнь» проводит благотворительный концерт «Не смотри назад» в театре «Современник».

Смотрим концерт вместе с «Рамблером» и Сбером онлайн: https://weekend.rambler.ru/read/47645200?utm_source=rnewstw&utm_medium=social…",0,0,0,120,новости,1,180,2022-07-30T23:10:51.788855Z,2022-07-30T23:10:51.788855Z,4.949
443,2019-03-01T16:24:59.000Z,ар2дэ2,@orangevyy,Мы с Юрий #Волонтёры #ФондПодариЖизнь,0,0,15,444,позитивные упоминания,1,179,2022-07-30T23:10:46.673193Z,2022-07-30T23:10:46.673193Z,10.521
1038,2016-04-01T14:56:07.000Z,Данила Тиховский,@dtikhovskiy,"В Институте красоты Art et beaute состоится сбор средств в фонд ""Подари жизнь""",0,0,0,1039,новости,1,178,2022-07-30T23:10:35.973036Z,2022-07-30T23:10:35.973036Z,19.362
599,2018-04-27T07:25:23.000Z,Пятый канал Новости,@5tv,"Подводим итоги акции  «День Добрых Дел» для  Ксюши Заиграевой.
Всего за один день вы перечислили в фонд  «Подари Жизнь» 18 миллионов 553 тысячи 985 рублей. Этих денег хватит не только на лечение Ксюши, но и других подопечных фонда. Спасибо вам! 
https://5-tv.ru/news/199764/
#добро",0,2,7,600,деятельность фонда,1,177,2022-07-30T23:10:16.421128Z,2022-07-30T23:10:16.421128Z,4.144
217,2020-10-29T08:32:11.000Z,Телеканал Царьград,@tsargradtv,"Ряд российских благотворительных фондов, в числе которых Фонд Константина Хабенского, ""Подари жизнь"", ""ЭНБИ"" и другие, направили президенту России, председателю Совета Федерации и председателю Государственной Думы открытое письмо. ""Мы не можем молча…",0,5,5,218,новости,1,176,2022-07-30T23:10:12.084304Z,2022-07-30T23:10:12.084304Z,7.638
349,2019-09-25T18:18:55.000Z,ًdogey,@vntbrd,"Ребята
Благотворительный проект ко дню рождения Исина
Пожертвования в фонд ""Подари жизнь"" 
https://vk.com/wall-152734216_50077…",1,1,1,350,деятельность фонда,1,175,2022-07-30T23:10:04.261303Z,2022-07-30T23:10:04.261303Z,9.559
2231,2011-04-26T14:56:39.000Z,РИА Новости,@rianru,"Роберто Карлос будет перечислять часть зарплаты в фонд ""Подари жизнь!"" http://bit.ly/expcQx",0,0,1,2232,новости,1,174,2022-07-30T23:09:54.532925Z,2022-07-30T23:09:54.532925Z,4.385
1252,2015-05-27T16:45:36.000Z,Сергей Стёпин,@Sergey_Styepin,"Только на $1млрд, потраченных на 2N-ю резиденцию на мысе Идокопас, Фонд ""Подари жизнь"" @podarizhizn мог бы помочь 300 000 детям
#путинизм",0,8,4,1253,позитивные упоминания,1,173,2022-07-30T23:09:49.966426Z,2022-07-30T23:09:49.966426Z,13.307
334,2019-11-20T08:46:05.000Z,Жанна,@region_78,"""На помощь пришли вы, зрители Пятого канала. Всего за один день вы перечислили в благотворительный фонд «Подари жизнь» 9 867 182 рубля. Этих денег хватит на лечение Саши и на помощь другим подопечным фонда."" https://5-tv.ru/ddd/  ) Добру быть!",0,0,0,335,деятельность фонда,1,172,2022-07-30T23:09:36.481806Z,2022-07-30T23:09:36.481806Z,5.756
137,2021-10-12T12:00:17.000Z,Wonderzine,@Wonderzine,Благотворительный фонд «Подари жизнь» запустил подкаст «Рак happens» об онкологических заболеваниях. Ведущими стали сотрудницы фонда Женя Ванеева и Соня Стринкевич,0,0,4,138,новости,1,171,2022-07-30T23:09:30.535914Z,2022-07-30T23:09:30.535914Z,8.754
1426,2014-11-07T08:20:45.000Z,Пятый канал Новости,@5tv,Фонд «Подари жизнь» собирает средства на лечение Вадима Немыкина из Белгорода. http://5-tv.ru/news/91527/,0,3,0,1427,деятельность фонда,1,170,2022-07-30T23:09:21.594481Z,2022-07-30T23:09:21.594481Z,2.396
1477,2014-07-22T07:03:04.000Z,ParsingNews,@ParsingNews,"Фонд ""Подари жизнь"" и Пятый канал собирают средства на спасение  Насти Алтынник..[fivemusic.ru тчк]",0,0,0,1478,деятельность фонда,1,169,2022-07-30T23:09:19.009119Z,2022-07-30T23:09:19.009119Z,4.457
1071,2016-02-11T07:25:53.000Z,Татьяна Зайцева,@TatianaOzarenie,"Фонд ""Подари жизнь"" приглашает поддержать акцию ""Благотворительность вместо сувениров"" -... http://fb.me/5lueCJyHQ",0,0,0,1072,деятельность фонда,1,168,2022-07-30T23:09:14.372458Z,2022-07-30T23:09:14.372458Z,3.99
991,2016-06-15T15:18:09.000Z,Марина Князева ,@M8neEEe7oUfwPRz,"Им надо собирать как в фонд""Подари жизнь"",кто сколько даст,а деткам их зарплату отдать.Справедливо.",0,0,0,992,позитивные упоминания,1,167,2022-07-30T23:09:10.202036Z,2022-07-30T23:09:10.202036Z,16.001
200,2020-12-27T08:36:18.000Z,"Emerald ""Asura"" Flint | Столп переработок",@Asura_D_Scarlet,"Хорошее дело) Отправил денег в фонд ""Подари жизнь""",0,0,1,201,деятельность фонда,1,166,2022-07-30T23:08:54.023220Z,2022-07-30T23:08:54.023220Z,3.159
1368,2014-12-27T08:59:17.000Z,эшкин,@kopylkovpavl,"В фонд Подари жизнь, 30 процентов на новые материалы(на самом деле на алкоголь и наркотики). В общем приходите, а то меня дети съедят",0,0,0,1369,негативные упоминания,1,165,2022-07-30T23:08:50.685667Z,2022-07-30T23:08:50.685667Z,15.331
1998,2012-11-22T18:28:59.000Z,Сергей Коноваленко,@SKonoval,"Фонд ""Подари жизнь"" получит от властей участок под детский хоспис",0,0,0,1999,новости,1,164,2022-07-30T23:08:35.177163Z,2022-07-30T23:08:35.177163Z,2.884
660,2017-11-28T09:08:15.000Z,Музей В.А. Тропинина,@tropinin_museum,"СЕГОДНЯ #ЩЕДРЫЙВТОРНИК
#ЩедрыйВторник — это Международный день благотворительности, который во второй раз пройдет в России 28 ноября 2017 года.
Предлагаем поддержать Благотворительный фонд ""Подари жизнь"". 
Сумма пожертвования отправляется на короткий номер 6162. Например, ""100"".",0,13,9,661,деятельность фонда,1,163,2022-07-30T23:08:32.108805Z,2022-07-30T23:08:32.108805Z,9.87
1600,2013-12-13T08:14:13.000Z,URPUR,@MMGrostov,"«Билайн» и Благотворительный Фонд «Подари жизнь» представляют ролик «Отправь SMS, подари жизнь» http://rnd.urpur.ru/statya/bilajn-i-blagotvoritelnyj-fond-podari-zhizn-predstavlyayut-rolik-otprav-sms-podari-zhizn/…",0,0,0,1601,новости,1,162,2022-07-30T23:08:22.060094Z,2022-07-30T23:08:22.060094Z,6.541
579,2018-06-03T15:07:24.000Z,Год Экологии,@ecoyear2017,"Экологический фонд «Подари планете жизнь» приглашает волонтёров в ЭКО-ПАТРУЛЬ, который будет проводиться совместно с ФГБУ «Заповедное Прибайкалье» на Байкале этим летом. РЕГИСТРАЦИЯ:",0,0,0,580,0,1,161,2022-07-30T23:08:15.343231Z,2022-07-30T23:08:15.343231Z,7.547
1132,2015-11-20T13:12:50.000Z,7Дней.ru,@7days_ru,В день рождения фонд «Подари Жизнь» устраивает «Безумное чаепитие» http://ift.tt/1X2uVM6,0,0,0,1133,новости,1,160,2022-07-30T23:08:07.614696Z,2022-07-30T23:08:07.614696Z,4.159
764,2017-08-07T15:45:22.000Z,Правмир,@Pravmir,"Используя маму в качестве медицинского прибора, лечить рак невозможно

Почему фонд ""Подари жизнь"" не участвовал в к  http://pravmir.ru/ispolzuya-mamu-v-kachestve-meditsinskogo-pribora-lechit-rak-nevozmozhno/…",0,5,0,765,0,1,159,2022-07-30T23:08:03.257698Z,2022-07-30T23:08:03.257698Z,11.803
700,2017-10-31T11:04:02.000Z,IASPNEWS,@IaspnewsPr,"«Благотворительный «Оскар»: фонд «Подари жизнь» учредил премию: В Москве, в центре… https://goo.gl/fb/w2BsGw",0,0,0,701,новости,1,158,2022-07-30T23:07:51.251606Z,2022-07-30T23:07:51.251606Z,11.754
2016,2012-09-13T20:05:50.000Z,Denis Orlov,@orlov_orlov,@yanarudkovskaya фонд Подари жизнь...,0,0,0,2017,0,1,157,2022-07-30T23:07:39.321938Z,2022-07-30T23:07:39.321938Z,4.152
732,2017-10-03T20:49:16.000Z,Mila Myshkova,@mmousemimi,"Фонд «Подари жизнь» учредили актрисы Дина Корзун и Чулпан Хаматова в 2006 году. 
Он помогает детям с онкогематологическими заболеваниями...",0,0,0,733,позитивные упоминания,1,156,2022-07-30T23:07:34.995097Z,2022-07-30T23:07:34.995097Z,4.069
2354,2019-11-28T08:41:51.000Z,ар2дэ2,@orangevyy,"Около сердца Чулпан #подарижизнь, висит мягкая игрушка созданная руками добровольцев #лизаалерт @TaracasWr и @RyabovaYN, да это та самая игрушка из комплекта который вы создали.
Фото из инстаграмм Чулпан Хаматова и моего личного архива.",2,13,30,2355,позитивные упоминания,1,155,2022-07-30T23:07:30.751751Z,2022-07-30T23:07:30.751751Z,10.293
1830,2012-11-24T08:37:57.000Z,andromarn2799375,@andromarn,"Фонд ""Подари жизнь"" отмечает день рождения: День рождения отмечает благотворительный фонд ""Подари жизнь"". Традиц... http://bit.ly/10KPvQG",0,0,0,1831,новости,1,154,2022-07-30T23:07:20.283040Z,2022-07-30T23:07:20.283040Z,8.611
1641,2013-10-31T10:17:45.000Z,©вятøç▲ав δ,ндαрΞнКО,"Никита Гусаров | Фонд ""Подари жизнь"" http://vk.cc/1Wzr9C",0,0,0,1642,деятельность фонда,1,153,2022-07-30T23:07:11.499433Z,2022-07-30T23:07:11.499433Z,4.588
1352,2015-02-06T11:38:39.000Z,Белла Рубинчик,@bellarubinc,"Сайт отзывов, отзывы, жалобы, пожелания. Фонд Чулпан Хаматовой ""Подари Жизнь"" - культура http://pravogolosa.net/otzyvcategory?page=show_ad&adid=19087&catid=1566… с помощью @pravogolosa.net",0,0,0,1353,0,1,152,2022-07-30T23:07:06.745249Z,2022-07-30T23:07:06.745249Z,10.18
300,2020-02-28T13:01:11.000Z,Fierce в Ташкенте,@daria_firsova,"Государство -- это благотворительный фонд без отчётности. 

Если вам кто-то говорит, что налоги платить вроде как надо, спросите, продолжил бы человек жертвовать, скажем, в ""Подари жизнь"", если бы они не публиковали отчётов, а у Хаматовой внезапно нашли бы личный самолёт.",4,8,27,301,позитивные упоминания,1,151,2022-07-30T23:06:56.394500Z,2022-07-30T23:06:56.394500Z,16.117
2259,2010-12-02T16:09:37.000Z,Алина Савина,@alinka_baby,"Фонд ""Подари жизнь"" признался в вынужденном нарушении закона при ввозе лекарств в РФ: Сотрудница фонда ""Подари ж... http://bit.ly/gJzYmn",0,0,0,2260,новости,1,150,2022-07-30T23:06:40.096725Z,2022-07-30T23:06:40.096725Z,7.944
1732,2013-04-17T20:14:49.000Z,ТАЙСКИЕ СКАЗКИ,@thai_tales,"Кроме того, плачу 75 000 за каждый победный гол Павлюченко в счет фонда Подари Жизнь (Фонд Чулпан Хаматовой).",0,0,0,1733,позитивные упоминания,1,149,2022-07-30T23:06:31.975519Z,2022-07-30T23:06:31.975519Z,5.176
1625,2013-11-26T15:09:10.000Z,Светлана Луханина,@sveta_lukhanina,"Донорская акция и большой торт: как фонд ""Подари жизнь"" отметил семилетие",0,0,0,1626,новости,1,148,2022-07-30T23:06:26.612458Z,2022-07-30T23:06:26.612458Z,3.927
2521,2017-05-08T04:39:10.000Z,Оксана Данилова,@kTJLzWBICbJRSUf,"Арпине Какосян 9 лет. Требуется лечение, Вы можете помочь.
http://helpchildren.online/?id=25989 #Подарижизнь",0,0,0,2522,деятельность фонда,1,147,2022-07-30T23:06:22.515663Z,2022-07-30T23:06:22.515663Z,3.283
257,2020-06-16T13:38:30.000Z,Litvyakov Boris,@watti_ti,"подошли на улице с опросом

*вау флешбеки как я опрашивал людей*

- давай, какая организация проводит опрос
- фонд подари жизнь

*ясно фейк опрос чтобы остановить меня*

- давай сразу перейдем к этапу где ты предлагаешь пожертвовать из дома все равно кеш вы не берете

посмеялись",0,0,1,258,позитивные упоминания,1,146,2022-07-30T23:06:19.047178Z,2022-07-30T23:06:19.047178Z,19.894
1841,2012-11-24T02:57:44.000Z,Natalia,@Natalishka60,"Фонд ""Подари жизнь"" получит от властей участок под детский хоспис http://protilcarco.tumblr.com/post/35997351930…",0,0,0,1842,новости,1,145,2022-07-30T23:05:58.973515Z,2022-07-30T23:05:58.973515Z,3.021
1309,2015-03-14T06:47:09.000Z,Иван Демидов,@ivan_demidoff,"@ntvru Фонд ""Подари жизнь"" просит помочь маленькому Никите Назарову: Маленькому Никите Назаров... http://bit.ly/1AmGeyl #новости",0,0,0,1310,деятельность фонда,1,144,2022-07-30T23:05:55.771345Z,2022-07-30T23:05:55.771345Z,9.142
1387,2014-12-03T01:36:19.000Z,Людмила Дмитриева,@kefusugesy,26 ноября Благотворительный Фонд для детей с тяжелыми онкологическими заболеваниями «Подари жизнь» в Москве празднует восемь лет своей,0,0,0,1388,новости,1,143,2022-07-30T23:05:46.453113Z,2022-07-30T23:05:46.453113Z,7.291
2109,2012-04-09T17:49:20.000Z,Радио Свобода,@SvobodaRadio,"@Koresch11 ""Зрители поддержали Хаматову и в ее лице – Фонд ""Подари жизнь"". .. Хорошо, что не фонд ""Федерация"" :)) http://svobodanews.ru/content/article/24530059.html…",0,0,0,2110,позитивные упоминания,1,142,2022-07-30T23:05:38.948333Z,2022-07-30T23:05:38.948333Z,12.028
1652,2013-10-08T15:32:44.000Z,Пятый канал Новости,@5tv,"Помочь просто. Смс на 6162. Фонд «Подари жизнь» собирает деньги для спасения Амины Золоевой. 
http://5-tv.ru/news/76412/",0,1,0,1653,деятельность фонда,1,141,2022-07-30T23:05:26.742471Z,2022-07-30T23:05:26.742471Z,7.645
1646,2013-10-30T19:35:48.000Z,АРТЕМ КЛЮШИН ,@ARTEM_KLYUSHIN,"Все средства пойдут в фонд «Подари жизнь», учрежденный актрисами Чулпан Хаматовой и Диной Корзун и спасут жизни тяжело больным детям..,",0,157,1,1647,позитивные упоминания,1,140,2022-07-30T23:05:18.917501Z,2022-07-30T23:05:18.917501Z,8.542
1624,2013-11-26T15:10:17.000Z,Artyom Makhmuryan,@amakhmuryan,"Донорская акция и большой торт: как фонд ""Подари жизнь"" отметил семилетие http://dlvr.it/4P46PC",0,0,0,1625,новости,1,139,2022-07-30T23:05:10.203965Z,2022-07-30T23:05:10.204965Z,5.313
1029,2016-04-02T00:04:08.000Z,SemeoN,@ekpersone,В Институте красоты Art et beaute состоится сбор средств в фонд «Подари жизнь»,0,0,0,1030,новости,1,138,2022-07-30T23:05:04.719700Z,2022-07-30T23:05:04.719700Z,10.304
1738,2013-04-17T16:23:04.000Z,ФК Локомотив Москва,@fclm_news,Василий Уткин: «Плачу в фонд «Подари жизнь&raquo 75 тысяч рублей за каждый победный гол Павлюченко»: Главный р... http://bit.ly/13i7pPp,0,1,0,1739,позитивные упоминания,1,137,2022-07-30T23:04:54.232444Z,2022-07-30T23:04:54.232444Z,8.549
1767,2013-01-14T17:28:52.000Z,Finparty,@Finparty,"Фонд «Подари жизнь» @podarizhizn провел аукцион в Лондоне
http://finparty.ru/section/blagotvoritelnost/17522/…",0,0,0,1768,новости,1,136,2022-07-30T23:04:45.504096Z,2022-07-30T23:04:45.504096Z,3.198
1952,2012-11-22T19:37:34.000Z,Марта Дехтерева,@hackakaamh,"Фонд ""Подари жизнь"" получит от властей участок под детский хоспис: Мэрия Москвы предоставила благотворительному ... http://bit.ly/XGKr1O",0,0,0,1953,новости,1,135,2022-07-30T23:04:42.129470Z,2022-07-30T23:04:42.129470Z,3.235
696,2017-11-13T09:44:14.000Z,V Z - Взгляд,@vzglyad,Фонд «Подари жизнь» начал принимать биткоины в качестве пожертвований https://vz.ru/news/2017/11/13/895006.html…,0,3,2,697,новости,1,134,2022-07-30T23:04:38.717971Z,2022-07-30T23:04:38.717971Z,4.072
2363,2019-02-26T18:32:15.000Z,Виктор Тейдев,@ViktorTeidev," Сборник «Избранное». Авторы в силу своих возможностей на безвозмездной основе оказывают искреннюю поддержку в пользу подопечных благотворительного фонда ""Подари жизнь"". Ознакомиться и приобрести можно по этой ссылке: https://ridero.ru/books/izbrannoe_36/… #подарижизнь #виктортейдев",0,0,0,2364,позитивные упоминания,1,133,2022-07-30T23:04:34.464454Z,2022-07-30T23:04:34.464454Z,12.652
462,2019-01-17T14:31:38.000Z,39,@wakeupdrunk39,"Все вырученные средства пойдут в благотворительный фонд «Подари Жизнь» 
До встречи! 
https://vk.com/wall-163614434_213…",0,1,38,463,позитивные упоминания,1,132,2022-07-30T23:04:21.638877Z,2022-07-30T23:04:21.638877Z,3.145
1663,2013-09-09T06:38:08.000Z,УФСИН Бурятии,@uisburyatia,"Благотворительный фонд при Улан-Удэнской и Бурятской Епархии ""Подари мне жизнь"" посетил колонию–поселение №3 http://03.fsin.su/news/detail.php?ELEMENT_ID=100384…",0,0,0,1664,новости,1,131,2022-07-30T23:04:18.316749Z,2022-07-30T23:04:18.316749Z,6.476
169,2021-04-07T15:24:00.000Z,Афиша Daily,@afisha,"Фонд «Подари жизнь» построит в усадьбе «Измалково» пансионат для детей, лечащихся от рака. Строительство начнется в июле этого года.",0,0,3,170,новости,1,130,2022-07-30T23:04:11.665441Z,2022-07-30T23:04:11.665441Z,4.844
959,2016-10-30T10:16:12.000Z,Виталий Матросов,@vit_matrosov,"Тренинг ""Управление конфликтом"" @ Семинар ""Благотворительность против рака"" @ Фонд ""Подари жизнь"" @ Москва",0,0,0,960,0,1,129,2022-07-30T23:04:06.654773Z,2022-07-30T23:04:06.654773Z,5.011
1723,2013-05-21T14:12:02.000Z,Фенюшка,@bk258,"@pchikov фонд""подари жизнь"" могут признать иностранным агентом?",1,0,0,1724,негативные упоминания,1,127,2022-07-30T23:03:39.025422Z,2022-07-30T23:03:39.025422Z,3.459
1576,2014-01-31T14:25:05.000Z,Вести,@vesti_ru,"Фонд ""Подари жизнь"" предупредил о мошенниках http://ru.1001hls.com/r2848525",0,0,0,1577,новости,1,126,2022-07-30T23:03:35.393514Z,2022-07-30T23:03:35.393514Z,2.893
2283,2010-11-02T11:10:10.000Z,За рулем,@zr_ru,"Kia поддержала фонд ""Подари жизнь"" http://www.zr.ru/a/263405",0,0,0,2284,позитивные упоминания,1,125,2022-07-30T23:03:32.329535Z,2022-07-30T23:03:32.329535Z,3.081
54,2022-04-23T13:08:02.000Z,Таtyana Afanasyevskaya,@M8R01rWI8F4uHTG,"73000 детей получили помощь фонда ""Подари жизнь"". Это святое дело. Поддерживала-не поддерживала.. Последнее дело - таких людей осуждать. Надеюсь, фонд будет работать дальше, не смотря ни на что.",6,1,38,55,позитивные упоминания,1,124,2022-07-30T23:03:29.065633Z,2022-07-30T23:03:29.065633Z,5.58
