,date,author,twitter_name,text,number_of_reply,number_of_retweets,number_of_likes,category
28,2022-04-27T15:07:44.000Z,Furfuroll,@Furfuroll,"Дебиторская задолженность фонда «Подари жизнь», известного как фонд актрисы Чулпан Хаматовой, за 2021 год составила более одного миллиарда рублей.",0,0,0,проблемы фонда
29,2022-04-27T12:02:23.000Z,Valentina Dimitrova,@diva5549,"Дебиторская задолженность фонда «Подари жизнь», известного как фонд актрисы Чулпан Хаматовой, за 2021 год составила более одного миллиарда рублей.",0,0,0,проблемы фонда
30,2022-04-27T08:45:54.000Z,Psych,Pathᶻᵛ,"Дебиторская задолженность фонда «Подари жизнь», известного как фонд актрисы Чулпан Хаматовой, за 2021 год составила более одного миллиарда рублей.",0,0,0,проблемы фонда
31,2022-04-27T07:56:20.000Z,RusNext РусскаяВесна,@rusnextru,"https://rusnext.ru/news/1651044708489612?utm_source=social…
Дебиторская задолженность фонда «Подари жизнь», известного как фонд актрисы Чулпан Хаматовой, за 2021 год составила более одного миллиарда рублей. Об этом в своем telegram-канале сообщает российский журналист Эдвард Чесноков. #Россия #Коррупция #RusNext...",0,0,0,проблемы фонда
32,2022-04-27T01:42:01.000Z,Vera Rashutina,@Vera_Rashutina,"Дебиторская задолженность фонда «Подари жизнь», известного как фонд актрисы Чулпан Хаматовой, за 2021 год составила более одного миллиарда рублей.",0,0,0,проблемы фонда
33,2022-04-26T23:47:17.000Z,Azat Karimov,@AzatKarimovA,Все оказалось пошло до банальности. Фонд «Подари [мне хорошую] жизнь» кинул благодетелей и детей России на 1 ярд рублей.,0,1,1,политический твит
34,2022-04-26T18:05:36.000Z,Вячеслав,@Slavam1767,"Чулпан Хаматова множила свой капитал, прокручивая через банковские счета пожертвованные в фонд «Подари жизнь» деньги, вместо того чтобы тратить средства по назначению- на нужды больных детей. Кроме того, артистка подозревается в махинациях с российскими государственными деньгами.",0,0,0,политический твит
35,2022-04-26T17:41:47.000Z,Татьяна Фёдорова,@maritima77,"Где деньги, Зин?
Дебиторская задолженность фонда «Подари жизнь», известного как фонд актрисы Чулпан Хаматовой, за 2021 год составила более одного миллиарда рублей.",0,0,0,политический твит
36,2022-04-26T15:11:55.000Z,369777,@ats369777,"Сбежавшая в Латвию российская актриса Чулпан Хаматова множила свой капитал, прокручивая через банковские счета пожертвованные в фонд «Подари жизнь» деньги, вместо того чтобы тратить средства по назначению — на нужды больных детей.",0,1,1,политический твит
37,2022-04-26T13:09:28.000Z,Irina Mig,@Irina__Mig,"Дебиторская задолженность фонда «Подари жизнь», известного как фонд актрисы Чулпан Хаматовой, за 2021 год составила более одного миллиарда рублей.",0,0,0,проблемы фонда
38,2022-04-26T12:24:51.000Z,Compatriot Z,@cardros,"Оппа, какой интересный поворот!
Хотя, честно сказать, сразу о чем-то таком подумалось. 

Дебиторская задолженность фонда «Подари жизнь», известного как фонд актрисы Чулпан Хаматовой, за 2021 год составила более одного миллиарда рублей.",92,460,570,политический твит
39,2022-04-26T11:08:24.000Z,Александр,@sI9L7mt8w7Mewgp,"Дебиторская задолженность фонда «Подари жизнь», известного как фонд актрисы Чулпан Хаматовой, за 2021 год составила более одного миллиарда рублей.",0,0,0,проблемы фонда
40,2022-04-26T08:52:52.000Z,Новый ОblomoV,@BlomovV1,"Ранее Хаматову заподозрили в том, что она множила свой капитал, прокручивая через банковские счета пожертвованные в фонд «Подари жизнь» деньги, вместо того чтобы тратить средства по назначению — на нужды больных детей.",0,0,2,политический твит
41,2022-04-26T06:03:23.000Z,сегун минамото,@SegunMinamoto,"что ещё через год её сделали учредителем фонда с банковским счётом.
ОДНИМ ИЗ.
Реальными директорами были те ж - Галина Чаликова и Екатерина Чистякова.
Они спасали детей, а не пиарились.
Теперь этот фонд ""Подари жизнь"" знают как фонд Чулпан Хаматовой.
/ Е В Справедливый",0,0,1,политический твит
42,2022-04-26T03:53:17.000Z,0.7%,@cromag_non,"Как ни странно, а фонды подари жизнь и фонд Ройзмана занимаются спасением жизней детей вместо государства.",0,0,5,политический твит
43,2022-04-24T19:25:09.000Z,Свидетель пиздеца,@_thirdperson_,"Фонд «подари жизнь», такую хуйню могли выдумать только безумные рашисты",0,0,0,политический твит
44,2022-04-24T12:27:24.000Z,Eduards Šlāpins,@eshlapins,"Что вы несете?  Фонд ""Подари Жизнь"" при живом Путине, это оксюморон! Собирали СМСками по копейке, когда бюджет и стабфонд ломился от бабла. Совести нет как раз у вас. И прекратите ее защищать, а  это уже софистика какая-то с вашей стороны...",1,1,16,политический твит
45,2022-04-24T09:59:43.000Z,Hi Zhina,@hi_and_zhina,"Ты понимаешь, о чем ты пишешь, или это просто набор слов на клавиатуре? Чулпан Хаматова, когда создавала фонд Подари Жизнь не была гражданкой Латвии. Она и сейчас ей не является, к тому же. У тебя вся аналитика такого уровня?",0,0,0,политический твит
46,2022-04-24T08:24:46.000Z,Елена Алешина,@Aljeshina,"Послушала сейчас ролик с Чулпан. Обвинительный.
Как актрису ее знаю плохо, не москвичка, не театралка. Телевизор не смотрю. Знаю её по фонду ""Подари жизнь"". Из ролика по эзопову языку поняла ее посыл: делаю всё, чтобы фонд работал и спасал жизнь детям. Иду на сделку с совестью.",1,0,1,политический твит
47,2022-04-24T08:04:04.000Z, stop genocide in Ukraine! Putin - war criminal,@FutsBols,"Чтобы донатить, нужен фонд, куда донатить. Фонд ""Подари жизнь"" получал донаты и деньги из бюджета. Именно из-за этого Хаматова поддержала Путина 10 лет назад. Есть информация, что ей тогда поставили ултиматум: сниматься в видеоролике, или денег не будет",1,0,0,политический твит
48,2022-04-24T06:38:49.000Z,42,@mockingjay_us,"Какую выгоду она получила? Фонд подари жизнь иностранными агентом не признали, в тюрьму не бросили? Что вы за мудаки то, честное слово?",0,0,1,политический твит
49,2022-04-24T05:30:03.000Z,Лина Ланг,@x67oDt4Y84459HE,"Фонд Чулпан Хаматовой «Подари жизнь» к началу 2022 г. Подарил жизнь (sorry за тавтологию) более чем 73 тысячам детей. Их родителям не показалось, что их детей спасли, они это знают точно. Ее дела перевешивают ее полит.высказывания и заблуждения, они важнее слов.",0,0,0,политический твит
50,2022-04-24T04:57:55.000Z,Татьяна Т.,@Tania230670,"За какие деньги? В фонд ""подари жизнь""? Не слышала, чтобы она сама разбогатела, как Гергиев, например",2,0,0,политический твит
51,2022-04-24T01:45:29.000Z,Sofy Loren,@loren_sofy,"Да, особенно когда доверенной мордой путина была и фонд подари жизнь  с господдержкой содержала.",0,0,6,политический твит
52,2022-04-23T15:29:03.000Z,Лина Ланг,@x67oDt4Y84459HE,"Фонд Чулпан Хаматовой «Подари жизнь» к 2022 г. спас жизни более более, чем 73 тыс. жизней детей. И для меня это перевешивает все остальное. Трагичная личность. Нашли тоже кого пинать, вы-то что сделали, чтобы всего этого не случилось и сколько жизней спасли? Ничего и никого",1,0,0,политический твит
53,2022-04-23T13:10:10.000Z,Никудашница,@kosmodenchik,"Непопулярное мнение : ненавижу фонд подари жизнь, потому что он всегда работал как пропаганда по телеку с больными детьми. Ну и да, сейчас от кризиса детей и людей в России умрет намнооого больше, чем спасли. Я ее ненавижу, но пусть переобувается, если поможет хуйлу свалить.",2,1,45,политический твит
54,2022-04-23T13:08:02.000Z,Таtyana Afanasyevskaya,@M8R01rWI8F4uHTG,"73000 детей получили помощь фонда ""Подари жизнь"". Это святое дело. Поддерживала-не поддерживала.. Последнее дело - таких людей осуждать. Надеюсь, фонд будет работать дальше, не смотря ни на что.",6,1,38,упоминание в хорошем контексте
55,2022-04-23T12:25:53.000Z,Driver,@trucker228,"Не судите, да не судимы будете, ибо каким судом судите, таким будете судимы; и ка кою мерою мерите, такою и вам будут мерить».  Ее фонд Подари жизнь  помог 35000 детям это что то значит для тебя ,не?",1,0,0,политический твит
56,2022-04-20T09:09:12.000Z,даня фокин ,@jaydensuwu,"В интервью услышал высказывание, типа, если бы этот фонд (про фонд подари жизнь) ждал лучшего времени в стране, лучших условий, то не были бы сохранены 73 тысячи детей, что они бы умерли. И типа... это вдохновило.",1,0,0,политический твит
57,2022-04-19T06:23:07.000Z,Правмир,@Pravmir,"«DHL в Германии очень внимательно изучила список препаратов, которые “Подари жизнь” закупает для подопечных, проверила нашего поставщика, проверила сам фонд и приняла решение возобновить поставки»

https://pravmir.ru/dhl-vozobnovlyaet-perevozku-lekarstv-dlya-onkobolnyh-detej-fonda-podari-zhizn/…",0,0,2,новости о фонде
58,2022-04-15T11:32:33.000Z,Русфонд,@RusfondRu,"Фонд «Подари жизнь» попросил разрешить молодым людям с гематологическими заболеваниями лечиться в детской системе здравоохранения до 21 года

Читайте в нашей новости https://rsfnd.ru/lRDkI",0,0,0,новости о фонде
59,2022-04-14T16:54:01.000Z,Николай Егорович Опря,@qlUnNtCoJWD7FbZ,Все таки фонд Подари жизнь хорошо платил (для справки Хаматова там лишь приглашённая звезда- фонд полностью «заокеанский») если сценический заработок не так важен,0,0,1,политический твит
60,2022-04-14T01:20:28.000Z,Mariam,@Mariam_Rus,"Я к Чулпан относилась хорошо из-за ее благотворительной деятельности, но потом оказалось, что и эта ее типа-благотворительная деятельность под вопросом. Про фонд ""Подари Жизнь"" в сети есть противоречивые мнения. Очень разочарована(",0,0,1,политический твит
61,2022-03-30T22:01:55.000Z,ленаelena,@elena53166542,"Фонд это бизнес. Любой фонд. По закону фонды могут оставлять себе до 40 % денежных средств. Так что имея ввиду капитализацию Подари жизнь, она очень богатая. Да в Латвии работы ей нет, но она точно не нищая.",0,1,0,политический твит
62,2022-03-30T09:15:20.000Z,Телеинф Образование,@tinf_educat,"Сбер, школа № 19 города Иркутска и фонд «Подари планете жизнь» подвели итоги экопроекта «Зелёная школа»|https://ift.tt/O3fD5Ew",0,0,0,новости о фонде
63,2022-03-30T07:06:09.000Z,Nelя,@Nel68226139,"Да пошла она куда подальше. Та ещё профурсетка, которая не плохо заработала на подачках в фонд ""подари жизнь"". Вот поэтому в СССР таких фондов, чтобы не повадно было развивать мошеннечиство, государство бесплатно спасали жизнь больным и без всяких квот.",0,0,0,политический твит
64,2022-03-30T07:00:50.000Z,Teleinform News,@tinf_irk,"Сбер, школа № 19 города Иркутска и фонд «Подари планете жизнь» подвели итоги экопроекта «Зелёная школа»: https://vk.cc/ccjdHq",0,0,0,новости о фонде
65,2022-03-29T05:36:10.000Z,Елисавета Патрикевна,@DMovochka,"Ещё в копилочку!
С рекламных экранов в лифтах Тауэра наконец убрали противную морду отца Foodorgy'я, пожирающего щщщи. Заменили на фонд ""Подари жизнь"". Оформила подписку, с миру по нитке",0,0,0,политический твит
66,2022-03-26T06:37:32.000Z,ленаelena,@elena53166542,"Она по прежнему осталась в учредителях Фонда Подари жизнь.А по закону о Фондах,принятом в 90х,когда у каждого олигарха был свой Фонд,до 40% можно оставлять себе.Так что Фонд это большой бизнес,тем более фонд с такой капитализацией.Она там огромные деньги получает",0,0,0,политический твит
67,2022-03-26T05:51:48.000Z,POLIT_PROSVET_RU_,@rezzzmannn,А скольким детям помогла Волкова ?фонд «подари жизнь» который основала Хаматова помог более 70-ти тысячам детей,0,0,0,политический твит
68,2022-03-25T07:19:04.000Z,Жанна Голец ,@ZannaGolecv,"А давайте я прекращу ваш спор. Фонд ""Подари жизнь ""так же как и все остальные фонды такова типа,собирал деньги смсками и от жертвователей(бизнесменов)которые это не афишировать.Поэтому считаю, что Хаматова несет определённую ответственность за то что происходит сейчас. Точка",2,2,8,политический твит
69,2022-03-23T22:14:28.000Z,irinar бумеранг,@23kiskis,"А бумеранг никому еще не удалось отменить.

К вопросу об эмиграции Хаматовой в Латвию, в свою избушку. Началась проверка Фонда. Оказалось, что они тратили 8 млн. рублей в месяц себе на зарплату. Даже по западным меркам это преступление.
Фонд ""Подари жизнь"" Хаматовой и Корзун",2,5,6,политический твит
70,2022-03-23T05:55:04.000Z,Темир Недиров,@temir_nedirov,"Фонд ""Подари Жизнь"" благотворительный, частный, а не государственный. Никаких бюджетных денег он не получал.",0,0,2,политический твит
71,2022-03-22T09:46:55.000Z,Yuriy Z ,@Yuriy03777921,"И фонд ""подари жизнь"" теперь собой ведь прихватила... ",0,0,1,политический твит
72,2022-03-22T09:30:19.000Z,Андрей,@andrey_hammer,"10% от всех денег, которые присылают люди в благотворительный фонд есть собственные уже владельца того фонда, а как раскручен фонд - ""подари жизнь"" остаётся только гадать....",0,0,1,политический твит
73,2022-03-22T08:03:23.000Z,*** *****,@peasetoheworld,"Фонд «Подари жизнь» Чулпан Хаматовой к началу 2022 года спас более чем 73 тыс детей. А что в этой жизни сделали полезного вы, обличители Чулпан?",1,0,0,политический твит
74,2022-03-22T05:57:15.000Z,Ирина Сергеева,@Alisasssr,"Грустно,8 лет так и не увидела деток Донбасса.Плюс-это фонд""Подари жизнь""и помощь больным детям,ее роль доктора Лизы,но та помогала детям Донбасса.Война-это страх,когда ложишься и просыпаешься под вой сирен,боишься за родных,часть уехала,а дома лучше.Вот и сейчас воет сирена.",0,0,1,политический твит
75,2022-03-22T05:27:19.000Z,Лина Ланг,@x67oDt4Y84459HE,"Чулпан классная. А ее фонд «Подари жизнь» спас жизни более 73 тысяч детей к началу 2022 г. Она всегда имела и имеет право на личное мнение. Вой, который поднимали и поднимают вокруг неё -  ненависть&беспомощность в одном флаконе. Отвратительная гремучая смесь((",4,0,2,политический твит
76,2022-03-22T05:15:00.000Z,ленаelena,@elena53166542,"Фонды это бизнес. По закону до 40% капитала имеют права оставлять себе. Это принято в 90х.Пои такой капитализации как фонд Подари жизнь это огромные деньги. Денег настигла море. Можно теперь подарить себе богатую жизнь.
В е фонды это очень прибыльный бизнес за счёт неравнодушных",0,1,1,политический твит
77,2022-03-22T01:31:01.000Z,Рамблер/,@ramblerru,Фонд «Подари жизнь» продолжает свою работу несмотря на отъезд учредителя Чулпан Хаматовой из России. Об этом сказала директор фонда Екатерина Шергова.,0,0,0,новости о фонде
78,2022-03-21T20:09:09.000Z,Высший в Интернете,@7ooo_ru,"Фонд «Подари жизнь» продолжит работу, несмотря на отъезд Чулпан Хаматовой
https://7ooo.ru/group/2022/03/21/104-fond-podari-zhizn-prodolzhit-rabotu-nesmotrya-naotezd-chulpan-hamatovoy-grss.html…",0,0,0,новости о фонде
79,2022-03-21T19:23:09.000Z,S_L ,#no war.,"Старая игра про предлагаемые обстоятельства: вы родитель больного ребёнка, государство его спасти не может, а фонд Подари жизнь Хаматовой может. Вопрос: вы из принципа готовы отказаться от идеи обращаться за помощью фонда и поставите под угрозу жизнь ребёнка или нет?",2,0,1,политический твит
80,2022-03-21T19:07:45.000Z,Саша Траубенберг,@atraubenberg,Фонд «Подари жизнь» Чулпан Хаматовой спас жизнь десяткам тысяч детей! А Вы спасли хоть одну жизнь ребёнка?!,0,0,0,политический твит
81,2022-03-21T18:58:43.000Z,Vadim Vadimov,@Vadimov575,"А ее фонд,хоть как то поучаствовал,помощью детям Донбасса? Фонд ведь....""Подари жизнь""!",0,0,1,политический твит
82,2022-03-21T16:37:47.000Z,Ulanov Yuri,@UlanovYuri,"""Екатерина Шергова, директор фонда «Подари жизнь»: ""На протяжении 14 лет мы постоянно говорим о том, что фонд «Подари жизнь» не получает никаких государственных грантов и какую-либо еще материальную поддержку.."" 24 марта 2021

https://podari-zhizn.ru/ru/publications/fond-i-gosudarstvo-kak-eto-rabotaet…",1,1,0,новости о фонде
83,2022-03-21T16:32:15.000Z,Лина Ланг,@x67oDt4Y84459HE,"Это личное мнение Чулпан, на которое она имела право. И имеет. Вы тоже уехали, помню вас по Статусу с несравненной Екатериной Шульман. Факт остаётся фактом, что Фонд «Подари жизнь» Чулпан Хаматовой к началу 2022 г. спас более 73 тыс.детей. Как говорится : Слово и Дело.",0,0,1,политический твит
84,2022-03-21T16:21:54.000Z,Лина Ланг,@x67oDt4Y84459HE,Фонд «Подари жизнь» Чулпан Хаматовой к 2022 г. спас более чем 73 тыс. детей. Это не в Twitter пиздеть,0,0,2,политический твит
85,2022-03-21T15:44:25.000Z,ashtray heart ,⃤ #НетВойнеСУкраиной,Я надеюсь мы понимаем что фонд подари жизнь он не единственный в стране и что ВСЕ фонды вот с этим столкнулись,1,0,8,упоминание в хорошем контексте
86,2022-03-21T14:41:54.000Z,Рахманова Елена,@ZaAlekseja,"Что ж Вы за люди!?Хаматова не самое большое зло.Фонд ""Подари жизнь"" спас 73 тыс.детей(!)
Человек публично раскаялся,почему не публикуете её интервью у Иры Шихман.
Однобокая правда-это кривда. 
Она не расхитила триллионов и не в Германию приехала,првдорубы,блть!
Кабаеву хейтите!",1,0,6,политический твит
87,2022-03-21T12:18:38.000Z,𝐶𝑂𝐷𝐸 𝐷𝐴 𝑉𝐼𝑁𝐶𝐼,@VinciGatto,"Если бы не путлер у власти, то Фонд «Подари жизнь» был бы не нужен. Деньги на лечение детей должны быть в бюджете «великой» энергетической и ядерной сМехдержавы. Путлер эти деньги тратил на ракеты с непредсказуемой траекторией полёта.",0,0,2,политический твит
88,2022-03-21T12:15:11.000Z,Пузо Проханова,@s9S08crK5vegGHn,"1. Откуда дровишки?
2. Надо верифицировать понятие ""спас"".
3. Фонд ""Подари жизнь"" - не фонд одной Чулпан Хаматовой.",0,0,0,политический твит
89,2022-03-21T11:06:54.000Z,злой ,@abtohton,Фонд «Подари жизнь» Чулпан Хаматовой России не нужен. Сейчас продвигается всей чумной пропагандой фонд «Подари смерть» Владимира Путина,1,7,15,политический твит
90,2022-03-21T10:33:06.000Z,Aldangl,@aldangl,Фонд «Подари жизнь» Чулпан Хаматовой к началу 2022 года спас более чем 73 тыс детей.,0,0,9,политический твит
91,2022-03-21T10:26:18.000Z,DASERGEY,@s20110448315,"Фонд «Подари жизнь» Чулпан Хаматовой к началу 2022 года спас более чем 73 тыс детей.
Все, что вы хотели об этом знать",0,1,0,политический твит
92,2022-03-21T10:21:47.000Z,Watcher , ,"Вы путаете её с министром здравоохранения. Фонд ""Подари жизнь"" существовал на пожертвования"".  Переходите на безалкогольные напитки.",1,0,6,политический твит
93,2022-03-21T09:42:39.000Z,Новые Известия,@newizvestia,"Чулпан Хаматова переехала в Латвию. Её Благотворительный Фонд «Подари жизнь» остается в России, будет и дальше помогать детям, страдающим от онкологических и онкогематологических заболеваний
https://newizv.ru/news/culture/21-03-2022/aktrisa-chulpan-hamatova-ya-ne-predatel-ya-ochen-lyublyu-svoyu-rodinu?utm_medium=social&utm_campaign=communities_1mi&utm_source=twitter.com…",0,1,1,новости о фонде
94,2022-03-21T09:09:05.000Z,Māra Treiberga,@jenuufa,"aavst2055
@aavst20551
Фонд «Подари жизнь» Чулпан Хаматовой к началу 2022 года спас более чем 73 тыс детей.
Все, что вы хотели об этом знать",1,0,0,упоминание в хорошем контексте
95,2022-03-21T08:56:23.000Z,vladimir osminin,@vladimirosminin,"В этом вся её истошность по ""давайте денежки на благотворительный фонд «Подари жизнь». Это мои денежки. С ними я уеду в Латвию. Не поддавайтесь на рекламу фондов на ТВ. Это развод. Помогайте ближним.",0,0,5,политический твит
96,2022-03-20T21:56:20.000Z,ivaari,@ivaari,"Хаматова, под угрозой уничтожения больницы, в первую очередь спасала детей. Фонд ""Подари жизнь"" спасает  сотни детей от смерти.Она могла бы ещё тогда уехать, но не смогла бросить фонд, оставалась и работала до последнего. Но есть предел, за которым край.",0,0,0,политический твит
97,2022-03-20T21:22:37.000Z,"Просто СЕРЁГА. И да, я патриот!!!",@MgNBAiiDua58SZ5,"Чулпан Хаматова эмигрировала в Латвию. 
Сказала, что боится возвращаться в Россию. 
А почему? Чем мы ей не угодили? 
А как же фонд ""Подари жизнь"" вышла ли из него?

Вот я и том, гниль проявилась явно. Кстати какая реклама на тв и какие премии она получала.. Двуличная проститутка.",29,63,335,политический твит
98,2022-03-20T19:21:16.000Z,Лента.ру,@lentaruofficial,"Актриса и глава фонда «Подари жизнь» Чулпан Хаматова покинула Россию. Она заявила, что не планирует возвращаться на родину, при этом её фонд продолжит работу",92,27,85,политический твит
99,2022-03-20T18:14:41.000Z,Штучка 2,@chum_chum_olo,Душераздирающее интервью Гордеевой! Последняя подстилка путинского режима опомнилась! Фонд ‘Подари жизнь’ - всё,0,0,3,политический твит
100,2022-03-20T17:53:02.000Z,Angry Alien,@_angryalien,"Фонд ""Подари жизнь"" переименован в ""Подари себе жизнь""",0,0,1,упоминание в хорошем контексте
