,date,author,twitter_name,text,number_of_reply,number_of_retweets,number_of_likes,text_lengh,negative
35,2018-04-04,~ • 지민의 증기 • jimin's steam • ~,@denelly1310,ко всем обычно такие вещи пишу думаю случай исключение июня дня рождения ру арми хотят собрать фонд подари жизнь поддержим проект,0,0,0,129,0
36,2013-06-08,"О, Сургут!",@ooosurgut,региональный благотворительный фонд подари жизнь обратился нам помощью просьбой одной многода,0,0,0,93,0
37,2012-11-23,Никита Евгеньевич,@mnikita96,фонд подари жизнь получит участок детский хоспис фонд подари жизнь получит участок детский хоспис,0,0,0,97,0
38,2017-04-26,Светлана Антонова,@Oc3AHcDVTHkdERN,фонд подари жизнь проводит флешмоб донорыдеть,0,0,0,45,0
39,2015-09-20,DEUTSCHLAND . ГЕРМАНИЯ И НЕМЦЫ,@DDeutschland,германия немцы немцы фонд подари жизнь света кундина возраст го,0,0,0,63,0
40,2015-06-26,Алексей Шутов,@shutov82,москва лужники фонд подари жизнь игры победителей день втора,0,0,2,60,0
41,2016-01-26,Иренн Мар,@Marukina77,рдкб нужны доноры групп крови фонд подари жизнь,0,0,0,47,0
42,2019-10-20,Jura,@JuraSib,знаете чулпан хаматова заболеет серьезно фонд подари жизнь поможет т старше лет,0,0,0,79,0
43,2012-11-22,Cheryl Lincoln,@dolgokilovoo6,фонд подари жизнь получит властей участок детский хоспис мэрия москвы предоставила благотворительный,0,0,0,100,0
44,2011-08-10,Andrej Biryukov,@andrejb_666,корпоративного счёта отправил деньги фонд подари жизнь каждого заказа некоторая часть денега,0,0,0,92,0
45,2018-03-07,Лёвая бровь Чøндэ,@Azazel_Prost,эри готовят проект тилетию ехо нужна финансовая поддержка данный момент собрано нужной суммы проходит сбор пожертвований фонд подари жизнь имени фандома ехий,1,0,0,157,0
46,2017-11-13,CryptoChannel,@cryptochan,партнерский фонд подари жизнь сша начал принимать криптовалюта,0,1,0,62,0
47,2017-12-06,Татар-информ,@tatar_inform,фонд подари жизнь обвинил минздрав рт неправомерном отказе пациентам лекарство,0,0,0,78,0
48,2017-11-13,Криптовалюта без вложений,@FreeCrypTOP,партнерский фонд подари жизнь сша начал принимать криптовалюта,0,0,0,62,0
49,2011-06-03,доктор под прекрытием,@gentlemanbataev,фонд подари жизнь,0,0,0,17,0
50,2018-08-11,Светлана,@19sveta75,пятый выпуск коллективного литературного сборника поэзии малой прозы избранное средства реализации будут перечисляться благотворительный фонд помощи детям онкогематологическими иными тяжелыми заболеваниями подари жизнь,0,0,0,218,0
51,2013-08-05,Невский Район,@NevskiyRayon,первой россии безвозмездному донору костного мозга пришлось заплатить подоходный налог фонд подари жизнь,0,0,0,104,0
52,2014-09-08,Радмир Усаев,@RadmirUsaev,принимая вызов дианы кузнецовой перевожу деньги фонд чулпан хаматовой подари жизнь,0,0,0,82,0
53,2017-01-28,VV_Melanchuk,@VV_Melanchuk,чайф естьещёздесьхотьктотокромеменя фондподарижизнь фрагмент выпуск,0,0,1,67,0
54,2015-02-27,Вежливый Смайл,@triovero,пермь мегафон фонд подари жизнь запускают совместный благотворительный проект эксклюзивные чехол,0,0,0,96,0
55,2013-10-07,Tous Russia,@Tous_Russia,ювелирный дом благотворительный фонд подари жизнь помощь детям октября ноябрь,0,0,0,77,0
56,2015-03-10,Просто , Мила,помощь ребенку фонд подари жизнь,0,4,1,32,0
57,2016-11-26,АНДРЕЙ РЫЖИХ,@aryjikh,благотворительный фонд подари жизнь отмечает летие поздравление,0,0,0,63,0
58,2012-08-19,Мон Мируар,@Mon_Miruar,главная фонд подари жизнь,0,0,0,25,0
59,2010-09-20,weblakeru,@weblakeru,фонд подари жизнь провел благотворительный спектакль детый,0,0,0,58,0
60,2011-08-27,Детская Новая волна,@newwavejunior,фонд подари жизнь помогут детям диагнозом рак компания совместно,0,0,0,64,0
61,2013-06-25,Sergey Dolya,@dolyasergey,жертвований фонд подари жизнь приходит простых граждан лет собрали миллиарда рублый,3,9,0,83,0
62,2017-04-25,Анна Кириллова,@pMCze3o45zY2no2,фонд подари жизнь проводит флешмоб донорыдеть,0,0,0,45,0
63,2010-02-15,Артур Стасевич,@arturstasevich,чулпан хаматова фонд подари жизнь блог радио эхо москвы международный день детей больных рак,0,0,0,92,0
64,2013-01-12,Помогаем Все вместе,@wsewmeste,сколько подарков собрали ученики гимназии подопечным фонд подари жизнь награду смелость,0,0,0,87,0
65,2012-11-22,Дмитрий,@dioteniti,фонд подари жизнь получит властей участок детский хоспис,0,0,0,56,0
66,2018-04-04,Голос Америки,@GolosAmeriki,виртуальные деньги реальные жизни пожертвования криптовалюте российский фонд подари жизнь сестринский американский фонд помогут нескольким тяжелобольным деть,1,6,9,157,0
67,2017-04-26,Белла Акимова,@XyaidpipDRoGPhU,фонд подари жизнь проводит флешмоб донорыдеть,0,0,0,45,0
68,2022-04-29,Alex Woolf,@Triksterr,зулейха открывает му ло дебиторская задолженность фонда подари жизнь известного фонд актрисы чулпан хаматовой год составила одного миллиарда рубль,0,0,0,146,0
69,2013-01-14,Ŕ́́́́́́omaFalmonov ,@Falmrom,благотворительный бал подари жизнь лондоне собрал тысяч фунтов сестринская организация российского фонд,0,0,0,103,0
70,2015-12-21,Засимов Вячеслав,@zasimovv,список противопоказаний донорству фонд подари жизнь,0,0,0,51,0
71,2014-02-28,Лилия Жаркова,@anzMcquown,киркоров пожертвует млн избиение девушки фонд подари жизнь,0,0,0,58,0
72,2018-11-16,Татьяна Герасимова,@Jizell_77,одноклассника моего сына обнаружен рак лимфотической системы крови лимфома беркитта мальчику летузнала сегодня могу спать собираем всей школой деньги лечение предложила фонд подари жизнь человек упомянул государство оно должно привыкнуть,0,0,0,237,0
73,2016-11-29,tak-prosto.org,@good_cases,ноября фонд подари жизнь отметил свой й день рождения сегодня юбилей празднует фонд помощи хоспис,0,0,0,97,0
74,2018-08-02,Алексей Шутов,@shutov82,дорогие друзья теряйте москва августа улетел волонтёрить всемирных детских играх победителей спортивные состязания детей перенесших онкологические заболевания которые года ежегодно проводит благотворительный фонд подари жизнь,0,0,0,225,0
75,2010-04-28,Liz Minaeva,@LizMinaeva,сможете сделать фонд подари жизнь проводят день донора мая ауд,0,0,0,62,0
76,2012-11-27,RussianSpeak,@russianspeak,подари жизнь предостерегает жертвователей мошенников соцсетях фонд подари жизнь помогающий детям тить,0,0,0,101,0
77,2015-10-02,miloserdie_ru,@miloserdie_ru,тыс руб перечислили фонд подари жизнь день рождения чулпан хаматовой октября актриса соучрести,0,1,0,94,0
78,2013-10-12,Кристина Асмус,@AsmusKristina,друзья бренд фонд подари жизнь начали совместную благотворительную акцию средство,3,6,4,81,0
79,2019-07-10,ГОАУЗ МОЦСВМП,@kvdmurmansk,акция подари жизнь фонд социально культурных инициатив президентом которого является светлана медведева ежегодно проводит городах регионах россии информационно просветительский,0,0,0,176,0
80,2014-01-21,Анна Вольчина,@Shanty_Vi,родители реанимация пускать пускать фонд подари жизнь,0,0,0,53,0
81,2021-02-24,Time Out Москва,@timeout_msk,сегодня кинотеатре октябрь покажут фильм пугало денег продажи билетов пойдут фонд подари жизнь рассказывает подробный,0,0,0,117,0
82,2020-04-23,Большой Змей,@ashaturnii,ч хаматова предложила организовать прям линию могут принять участие недоволен ролью плюнете лицо скажете гадости какие хотели переведете деньги фонд подари жизнь фонд фонд зулейху поддержку сети сенцова мешать,3,3,3,209,0
83,2014-09-18,Igor Cher-ski,@icherski,вчера разбиралась мошенниками собирающими средства якобы фонд подари жизнь полный,0,0,0,81,0
84,2018-07-08,елена благушина,@papilosha,деньги фонд подари жизнь реально больных детей собирали дольче витый,0,0,1,68,0
85,2017-03-13,Новости Улан-Удэ,@UlanUde_Novosti,фонд подари жизнь приглашает участию фотоконкурс,0,0,0,48,0
86,2015-05-07,Пятый канал Новости,@5tv,день добрых дел пятый канал фонд подари жизнь собирают деньги спасение никиты завьялкин,0,11,0,87,0
87,2017-07-12,Moscow Legal Agency,@Allegri_pro,фонд подари жизнь отстоял свое название верховном суд,0,0,0,53,0
88,2017-02-11,ПроВолчанск.ру | Cвежие новости Волчанска,@provolchansk,фонд подари жизнь проиграл суд защите названия благотворительный фонд помощи детям т волчанск проволчанскра,0,0,0,107,0
89,2018-08-04,Винный в пух,@vvpuh,хроники ебанария ряде российских регионов ввели мораторий аборты временно запретили приморском крае якутии рязанской области рамках акции подари жизнь т е е ый фонд решает ограничить людей оплаченных налогами услугах омс,0,0,1,220,1
90,2017-07-12,Центр Защиты Прав СМИ,@mmdc_ru,фонд подари жизнь добился вс пересмотра дела праве нко защиту наименования незаконного клонирование,0,1,0,99,0
91,2014-11-10,Инна Волкова,@VolkovaInna,фонд подари жизнь отметит свой день рождения безумным чаепитием помощь,0,0,0,70,0
92,2015-05-11,Пapeн_Из_Aдa,@13KyltyraGog13,победительница шоу новая звезда елена лаптандер призовой миллион рублей передаю фонд подари жизнь комсомольская правда,0,0,0,118,0
93,2017-05-08,Аленка Шилова,@2EMMLnFCcHWjUQz,дарёна липина года требуется лечение можете помочь подарижизнь,0,0,0,62,0
94,2012-11-24,Артем Степушин,@djStepushin,фонд подари жизнь получит властей участок детский хоспис,0,0,0,56,0
95,2017-04-24,Ирина Трефилова,@avRucl1ijkVxir5,фонд подари жизнь проводит флешмоб донорыдеть,0,0,0,45,0
96,2012-11-23,giaz,@giaz77,фонд подари жизнь получит властей участок детский хоспис,0,0,0,56,0
97,2014-07-22,ParsingNews,@ParsingNews,фонд подари жизнь совместно пятым каналом собирает средства спасение насти алтынник тчк,0,0,0,87,0
98,2020-07-11,Скорей Добрей,@Skoreidobrei,коробка храбрости классная идея задались вопросом откуда появился чудесный необходимый проект оказалось продвигают различные фонды подари жизнь фонд дадобро фонд помоги ребёнка,0,0,0,176,0
99,2021-06-02,Kia Russia,@kia_russia,день защиты детей объявляем результаты акции поддержку фонда подари жизнь фонд переведено рублей средства направятся программу диагностика анализы тяжелобольных детый,1,0,0,166,0
100,2017-05-08,Анна Иванова,@yml9zhjK7zJeadM,артур абдуллин года требуется лечение можете помочь подарижизнь,0,0,0,63,0
101,2018-08-29,Известия,@izvestia_ru,благотворительный фонд подари жизнь пытается бороться мошенниками ялты украли название фонда собирают деньги помощь больным деть,0,7,3,128,0
102,2017-05-08,Галина Лазарева,@qxx0gQcik51u0a5,дарья качура лет требуется лечение можете помочь подарижизнь,0,0,0,60,0
103,2018-04-23,Shazoo,@weareshazoo,следующие выходные пройдет благотворительный деньги пойдут фонд подари жизнь,0,0,2,76,0
104,2015-03-13,Виктория Свиридова,@vika3221,история одного выздоровления надежда фонд подари жизнь,0,1,1,54,0
105,2019-07-03,PSvetka,@svetka_82,дорогой спасибо тебе огромное приглашение волшебно фантастическая энергетика бесконечный позитив фондподарижизнь игрыпобедитель,0,3,17,127,0
106,2014-08-04,Golikova Regina,@KostashRegina,подари жизнь фонд подари жизнь,0,0,0,30,0
107,2018-07-09,Юга.ру,@yuga_ru,июля фонд социально культурных инициатив проводит всероссийскую акцию подари жизнь предотвращению аборт,0,0,0,103,0
108,2017-12-31,Pro Lab,@ProLabC,даниил время читать морали такое клиника охуевшая бабки кота пиздюк ещё людей просишь просили фонд подари жизнь дал удали пост позориться,3,0,0,137,1
109,2017-10-04,Диссидент. Ру,@ru_dissident,задержан подозреваемый принесший коробку патронами фонд подари жизнь полиция,0,0,0,76,0
110,2013-11-26,Gin,@GoodWinRu,донорская акция большой торт фонд подари жизнь отметил семилетие москва,0,0,0,71,0
111,2012-01-14,РИА Новости,@rianru,фонд подари жизнь торжественно открыл отделение лондон,0,6,3,54,0
112,2014-07-22,Влад Шукайло,@lalononcha,благотворительный фонд подари жизнь открывает новый сбор одного своих подопечных трехлетнего вани шилов,0,0,0,103,0
113,2012-04-16,Madina,@Madina_loveu,фонд подари жизнь,0,0,0,17,0
114,2015-06-10,Событие часа в РФ,@SobytieRF,чулпан хаматова получившая госпремию рф перечислит млн рублей фонд подари жизнь рф,0,0,0,82,0
115,2014-08-01,Ольчик колоклчик,@dolipkoslfi,благотворительный фонд подари жизнь открывает новый сбор одного своих подопечных трехлетнего вани шилов,0,0,0,103,0
116,2020-03-17,Телеканал «Россия 1»,@tvrussia1,благотворительный показ фильма зулейха открывает глаза марта отменён зрители купившие билеты средства продажи которых направлены фонд подари жизнь могут обменять книгу зулейха открывает глаза также обладатели билетов могут вернуть деньга,1,2,2,237,0
117,2017-05-08,Ксения Павлова,@lgkP7Mdo7K8x9ai,руслан готько лет требуется лечение можете помочь подарижизнь,0,0,0,61,0
118,2013-11-18,Liza Melik-Gaykazyan,@lizaveta_mg,сергей коцюра фонд подари жизнь,0,0,0,31,0
119,2011-12-14,Vika Krapivina,@Vikkrap,фонд подари жизнь объявил сбор подарков новому году фонд подари жизнь некоммерческая благотворительный,0,0,0,102,0
120,2013-03-20,Трибуна ОП,@topoprf,контексте пропаганды донорства отмечают фонд подари жизнь,1,1,0,57,0
121,2012-04-15,Gala,@pasiulamos,горбачев пообещал выдвинуть чулпан хаматову фонд подари жизнь соискание нобелевской премии мир,0,1,0,94,0
122,2016-05-02,Михаил Калашников,@mkalashnikov88,благотворительный фонд подари жизнь,0,0,0,35,0
123,2017-03-02,Фонд «Сколково»,@fondskolkovo,резидент сколково защитит хакеров благотворительный фонд подари жизнь,1,1,0,69,0
124,2017-04-26,Марина Уколова,@fkEOhNUXUDzT1Ia,фонд подари жизнь проводит флешмоб донорыдеть,0,0,0,45,0
125,2014-07-09,GRISHA ,@GrishkaUrgant,друзья фонд подари жизнь собирает средства лечение тимохиной необходимо отправить смс указать цифрами сумму пожертвование,0,2,0,121,0
126,2016-11-10,Mary Perezа,@Muzdonnaqodey11,фонд подари жизнь приглашает благотворительную акция,0,0,0,52,0
127,2017-06-30,Alexey Bets,@Edmondt79,ночныеспайперы подарижизнь,0,0,0,26,0
128,2015-06-25,Crimea Now ® ,@CrimeaNow,мастера фонд подари жизнь,0,0,0,25,0
129,2015-06-11,Сочинская Правда,@sochipravda,добрые руки планеты земля благотворительный фонд подари жизнь завидным постоянством упорно р,0,0,0,92,0
130,2015-06-10,Вежливый Антимайдан,@Anti_Psaki,чулпан хаматова получившая госпремию рф перечислит млн рублей фонд подари жизнь,1,4,0,79,0
131,2018-02-02,Пятый канал Новости,@5tv,подводим итоги акции день добрых дел арама бегларяна день перечислили фонд подари жизнь миллионов тысяч рублей этих денег хватит лечение арама других подопечных фонда спасибо помощь дести,0,2,1,187,0
132,2020-03-11,Культура.РФ,@cultrf,фонд подари жизнь впервые соберет звезд оперы балета большом театр,0,3,8,66,0
133,2012-09-13,Denis Orlov,@orlov_orlov,фонд подари жизнь,0,0,0,17,0
134,2015-03-14,Геннадий Кривцов,@ili4___,фонд подари жизнь хорошее дело почему поднял стоимость мед операций миллионов руб,0,0,0,81,0
135,2014-10-16,Сергей Потапов,@myhealth2012,фонд подари жизнь собирает деньги лечение семилетнего мальчик,0,0,0,61,0
136,2016-01-14,Рудольф Кузнецов,@anduetwu,акцию свеча памяти провел благотворительный фонд подари жизнь,0,0,0,61,0
137,2018-01-16,ASI_News,@ASI_Russia,фонд подари жизнь собрал млн рублей лондонском аукционе благотворительность подарижизнь,0,0,0,87,0
138,2022-04-26,0.7%,@cromag_non,странно фонды подари жизнь фонд ройзмана занимаются спасением жизней детей вместо государство,0,0,5,93,0
139,2012-04-17,Эхо Москвы,@echo_msk_ru,предложение выдвинуть фонд подари жизнь нобелевскую премию должно обрадовать,0,0,0,76,0
140,2017-10-03,Mila Myshkova,@mmousemimi,фонд подари жизнь учредили актрисы дина корзун чулпан хаматова году помогает детям онкогематологическими заболевание,0,0,0,116,0
141,2012-11-27,InterestSEO,@interestseo,подари жизнь предостерегает жертвователей мошенников соцсетях фонд подари жизнь помогающий детям тяжелыми заболевание,0,0,0,117,0
142,2012-12-13,Kseniya Davidson,@KseniyaDavidson,собранные средства идут фонд помощи детям онкологическими заболеваниями подари жизнь мфц пгу префектуры цао марксистский,0,0,0,120,0
143,2013-02-16,Musique Post,@MadProf1,видимо невидимо фоторепортаж открытия выставки фонда подари жизнь фонд подари жизнь представляет новость,0,0,0,104,0
144,2012-11-23,Алексей,@kldhgksjgd,фонд подари жизнь получит участок детский хоспис фонд подари жизнь получит участок детский хоспис,0,0,0,97,0
145,2013-07-08,Any Wedding,@Anni_Lion,акция подари жизнь фонд социально культурных инициатив президентом которого является светлана м,0,0,0,95,0
146,2014-01-21,Елена Котте ,@elenkott,фонд подари жизнь,0,0,0,17,0
147,2016-04-01,Марья Кожевина,@qavulolimo,институте красоты состоится сбор средств фонд подари жизнь,0,0,0,58,0
148,2021-11-15,Ars.,@artiszt1,мск фонды типо дом маяком подари жизнь фонд вера большинства городов свои фонды организации часто устраивают сборы мероприятия детей нг просто узнать руководства устроить помощь закупку мероприятия больница,0,0,1,206,0
149,2017-04-02,Илья Кошлюнов,@ilya_bur,фонд подари жизнь приглашает многодетные семьи принять участие фотоконкурсе опора будущий,0,0,0,89,0
150,2017-06-04,Марина Балахонская,@Mb12Marina412,дети победители победили рак фонд подари жизнь проводит соревнования бежать,0,0,0,75,0
151,2019-07-02,ар2дэ2,@orangevyy,жемчужины игрыпобедителей фондподарижизнь,0,0,0,41,0
152,2017-11-17,М-Логос,@M_Logos,благодарим принял участие отчет круглом столе ноября г собранные средства перечислены институтом фонд подари жизнь лечение детей страдающих онкогематологическими заболевание,0,0,0,173,0
153,2012-11-24,Vadim,@Hippyti555,фонд подари жизнь получит властей участок детский хоспис,0,0,0,56,0
154,2017-05-08,Алёна Тимофеева,@3U5gn9wY2mc150f,сережа беленко года требуется лечение можете помочь подарижизнь,0,0,0,63,0
155,2020-09-04,(не)живое ᴍɪʏᴀʀ⁷,@brili_la,собрали долларов пожертвовали фонд подари жизнь россия снг,1,0,8,58,0
156,2019-07-02,ар2дэ2,@orangevyy,смотрю репетицию открытия всемирных детских игр победителей шоу детей волшебное онлайн трансляция приезжайте увидеть своими глазами поддержать победителей ощутить атмосферу праздника игрыпобедителей фондподарижизнь,0,0,2,214,0
157,2018-06-14,Доступ–новости,@dostup1ru,дети челябинска смогут приехать трансплантацию костного мозга екатеринбург помощь онкобольным детям оказывает фонд подари жизнь,0,0,0,127,0
158,2012-05-19,Sunrise-tour,@tour_sunrise,благотворительный фонд помощи детям онкогематологическими иными тяжелыми заболеваниями подари жизнь,0,1,0,99,0
159,2022-03-21,Саша Траубенберг,@atraubenberg,фонд подари жизнь чулпан хаматовой спас жизнь десяткам тысяч детей спасли одну жизнь ребёнка,0,0,0,92,0
160,2017-12-30,Азбука Вкуса,@azbukavkusa,продолжаем рассказывать тех недавно поддержал нашу акцию подари жизнь музыкант алексей кортнев певец шоумен тимур родригез актёр шоумен юрий стоянов рамках акции часть средств продажи елочных игрушек передадим фонд подари жизнь,0,0,0,227,0
161,2022-01-19,Матвей Минченков,@MincenkovMatvei,фонд помощи детям подари жизнь анастасия фонд,0,0,0,45,0
162,2020-04-23,Светлана В.В. , Z V,уйти чулпан фонда таких скандалов порядочный человек сделал её месте нужен пиар плевками тень её русофобских действий ложится фонд подари жизнь хочется проверить деньги зулейха происходить,0,2,2,188,0
163,2012-11-24,Vladimir Kukushkin,@hotwelt,фонд подари жизнь получит властей москвы участок детский хоспис,0,0,0,63,0
164,2017-11-13,Бизнес портал №❶ fdlx.com,@fdlx_com,последние новости фонд подари жизнь принимать пожертвования биткоина,0,0,0,68,0
165,2012-07-06,Незнайка в РФ,@_Skitalets_,фонд подари жизнь оказывается иностраный агент,0,0,0,46,0
166,2015-06-27,Алексей Шутов,@shutov82,москва спорт комплекс лужники фонд подари жизнь всемирные игры победителей волонтёрим третий деть,0,0,2,97,0
167,2012-11-24,Вольхин Роман,@pomaxa_x,фонд подари жизнь получит властей участок детский хоспис,0,0,0,56,0
168,2020-10-26,Афиша Daily,@afisha,благотворительный фонд константина хабенского подари жизнь другие организации написали открытое письмо путину рассказали тотальном дефиците лекарств онкобольных россии лечение пациентов числе детей невозможный,5,10,21,209,0
169,2018-07-12,Светлана,@19sveta75,спасибо всем участникам проектов сборники доступны крупных интернет магазинах средства реализации перечисляются благотворительный фонд подарижизнь российский благотворительный фонд ветеранов войны труда вооруженных сить,0,0,0,219,0
170,2020-04-24,Советский Человек,@eot61,фонд нужно манёхо переименовать подари хорошую жизнь зулейхе чо чупа считает достойна почему лауреата нобелевской премии горбачёва попросить прочих врагов народа которыми якшаться,0,0,0,179,0
171,2012-11-23,Ярков  Олег,@yarkoffoleg,фонд подари жизнь получит властей участок детский хоспис,0,0,0,56,0
172,2017-05-08,Екатерина Тарасова,@WiOkneutarsNiGs,даня цветков лет требуется лечение можете помочь подарижизнь,0,0,0,60,0
173,2016-12-05,Школа Поставщика,@oficerovcom,азбука вкуса фонд подари жизнь проводят новогоднюю благотворительную акцию проходит ноябрь,0,0,0,90,0
174,2020-04-20,olololenka,@lolololenka,эй сдаватели крови праздником ядонор национальныйденьдонора подарижизнь,0,0,0,71,0
175,2017-05-06,Аня Архипова,@MnVBDUKfNsBoGRy,назар клюкин года требуется лечение можете помочь подарижизнь,0,0,0,61,0
176,2019-11-28,Хорошие новости,@wellnewsru,виталий абдулов катя лель другие звезды открыли благотворительную акцию добрая ёлка фонд подари жизнь чулпан хаматовой совместно магазином игрушек проводит благотворительную акцию добрая ёлка главная цель подарить новый,0,0,0,219,0
177,2016-08-10,Polupricep,@polupricep177,подари жизнь детям фонд подари жизнь чулпан хаматов,0,0,0,51,0
178,2016-03-21,Новости на Zoomby.ru,@Zoombyru_News,фонд подари жизнь тв центр собирают средства спасение двухлетней насти матушкин,0,0,0,79,0
179,2015-05-26,Nal Gorbachjov,@ephoggma,фонд подари жизнь стал организатором парада детей улан удэ,0,0,0,58,0
180,2017-02-21,Новости на Zoomby.ru,@Zoombyru_News,фонд подари жизнь тв центр собирают средства лечение лёни тутуков,0,0,0,65,0
181,2012-04-15,НАРОДНАЯ ПРИЁМНАЯ,@Napishi_Putinu,относитесь идеи выдвинуть фонд подари жизнь нобелевскую премию мира спасение тысяч детских жизней пойдут деньги понятный,20,4,1,120,0
182,2012-04-14,Инесса Ермолаева,@chartcomriven,дмитрий муратов выдвигает дину корзун чулпан хаматову фонд подари жизнь нобелевскую премию мир,0,0,0,94,0
183,2014-03-02,Наталья Ната,@personaNatali,главная фонд подари жизнь,0,0,0,25,0
184,2016-12-04, женя,@hedgehoney,самое потрясающее моем любимом магазине деньги вещи идут фонд подари жизнь,1,0,1,74,0
185,2019-07-16,Igor Gukovsky,@jstoruser,фонд подари жизнь мить,2,1,10,22,0
186,2016-03-04,Марина Юрьева,@MarinaYurieva,вчера фонд подари жизнь канал тв собрал пересадку почки летнему малышу вместо млн аж млн млн остаток пойдут другим деть,1,6,2,119,0
